clientSlug,src,imageFile,alt,size,position,previewScale,previewOffsetY,order
"djslyd","/press-kit/DSC02563.jpg","","DJ SLY'D editorial portrait for press kit","md:col-span-2 md:row-span-2","center 12%","1.18","","1"
"djslyd","/press-kit/2025-12-29-22-28-27-905.jpg","","DJ SLY'D night portrait in club lighting","md:col-span-1","center 12%","1.18","","2"
"djslyd","/press-kit/1000019881.jpg","","DJ SLY'D urban portrait","md:col-span-1","center 10%","1.2","","3"
"djslyd","/press-kit/20250628_205905.jpg","","DJ SLY'D live portrait during event performance","md:col-span-2","center 18%","1.18","18%","4"
"djslyd","/press-kit/OUTFIT MIC_20250727_194822_0000.png","","DJ SLY'D portrait with microphone for media use","","","","","5"
"djslyd","/press-kit/_DSC6062.jpg","","DJ SLY'D portrait in streetwear styling","","","","","6"
"djslyd","/press-kit/DSC_9021-Avec-accentuation-Bruit.jpg","","DJ SLY'D performing a live DJ set","","","","","7"
"djslyd","/press-kit/DSC02599.jpg","","DJ SLY'D on stage during a club performance","","","","","8"
"djslyd","/press-kit/Screenshot_20251229_234153_Gallery.jpg","","DJ SLY'D gallery still from live performance","","","","","9"
"djslyd","/press-kit/Java-10.jpg","","DJ SLY'D behind the decks at an event","","","","","10"
"djslyd","/press-kit/Screenshot_20251229_234057_Gallery.jpg","","DJ SLY'D crowd-facing performance visual","","","","","11"
